mode,sensor,block_size,elapsed_sec,max_rss_kb
DEC,T,2,0.002907968,19112
DEC,T,4,0.002245671,19324
DEC,T,6,0.002322912,19332
DEC,T,8,0.002056537,19452
DEC,T,10,0.001832941,19152
DEC,T,12,0.002160467,18996
DEC,T,14,0.002281960,19076
DEC,T,16,0.002201504,19096
DEC,T,18,0.002185656,19188
DEC,T,20,0.002134127,19356
DEC,T,22,0.002209873,19376
DEC,T,24,0.001986584,18988
DEC,T,26,0.002211203,19492
DEC,T,28,0.002530393,19068
DEC,T,30,0.002234671,19244
DEC,T,32,0.002161335,19348
DEC,RH,2,0.003042823,19156
DEC,RH,4,0.002431295,19332
DEC,RH,6,0.002788214,19332
DEC,RH,8,0.003095519,19400
DEC,RH,10,0.002879229,19152
DEC,RH,12,0.002666868,19236
DEC,RH,14,0.003419244,19320
DEC,RH,16,0.002405404,19112
DEC,RH,18,0.003108233,18996
DEC,RH,20,0.002839312,19340
DEC,RH,22,0.002991669,19068
DEC,RH,24,0.002448787,18996
DEC,RH,26,0.002947454,19188
DEC,RH,28,0.003260062,19320
DEC,RH,30,0.002905983,19316
DEC,RH,32,0.003143280,19416
DEC,lux,2,0.004801692,19312
DEC,lux,4,0.004070867,19280
DEC,lux,6,0.004198091,19276
DEC,lux,8,0.004172531,18932
DEC,lux,10,0.003405339,19344
DEC,lux,12,0.003676886,19512
DEC,lux,14,0.004027157,19356
DEC,lux,16,0.003518033,19280
DEC,lux,18,0.003478030,18976
DEC,lux,20,0.003529662,19096
DEC,lux,22,0.003595086,19528
DEC,lux,24,0.003341644,19396
DEC,lux,26,0.004041389,19396
DEC,lux,28,0.003540417,19392
DEC,lux,30,0.003027486,19368
DEC,lux,32,0.003087620,19160
DEC,P,2,0.004895948,19212
DEC,P,4,0.005419288,19224
DEC,P,6,0.006099662,19124
DEC,P,8,0.005626800,19392
DEC,P,10,0.004970319,19488
DEC,P,12,0.005238932,18972
DEC,P,14,0.005101246,19136
DEC,P,16,0.004649132,19216
DEC,P,18,0.004857514,19308
DEC,P,20,0.004154900,19424
DEC,P,22,0.003690929,19148
DEC,P,24,0.004234036,19232
DEC,P,26,0.004559638,19308
DEC,P,28,0.004414141,19424
DEC,P,30,0.004511595,19268
DEC,P,32,0.003613578,19540
