mode,sensor,block_size,elapsed_sec,max_rss_kb
ENC,T,2,0.006080256,19500
ENC,T,4,0.007494193,19284
ENC,T,6,0.012242207,19112
ENC,T,8,0.014187723,19136
ENC,T,10,0.012604644,19128
ENC,T,12,0.010399556,19228
ENC,T,14,0.009629651,19304
ENC,T,16,0.007900860,19548
ENC,T,18,0.007402359,19328
ENC,T,20,0.006564821,19284
ENC,T,22,0.005676592,19232
ENC,T,24,0.005771845,19108
ENC,T,26,0.005544066,19004
ENC,T,28,0.004768392,19428
ENC,T,30,0.004736314,19208
ENC,T,32,0.004811214,19276
ENC,RH,2,0.011652787,19444
ENC,RH,4,0.020896015,19120
ENC,RH,6,0.033664188,19212
ENC,RH,8,0.040258757,19108
ENC,RH,10,0.036789155,19084
ENC,RH,12,0.029235217,19308
ENC,RH,14,0.023635051,19336
ENC,RH,16,0.019956407,19308
ENC,RH,18,0.018252971,19400
ENC,RH,20,0.015051335,19188
ENC,RH,22,0.013004841,19260
ENC,RH,24,0.010943123,18952
ENC,RH,26,0.010120315,19400
ENC,RH,28,0.008786993,19420
ENC,RH,30,0.007781345,19260
ENC,RH,32,0.007859357,19508
ENC,lux,2,0.054945275,19048
ENC,lux,4,0.115104817,19124
ENC,lux,6,0.109052702,19276
ENC,lux,8,0.075408881,19396
ENC,lux,10,0.055207727,19456
ENC,lux,12,0.038816701,19340
ENC,lux,14,0.030067593,19368
ENC,lux,16,0.024365744,19344
ENC,lux,18,0.021628289,19136
ENC,lux,20,0.017681636,19440
ENC,lux,22,0.015377222,19128
ENC,lux,24,0.014175881,19412
ENC,lux,26,0.012408187,19444
ENC,lux,28,0.011203818,19136
ENC,lux,30,0.009875253,19284
ENC,lux,32,0.009316478,19184
ENC,P,2,0.448137279,19464
ENC,P,4,0.789371976,18964
ENC,P,6,0.340910803,19448
ENC,P,8,0.261048473,19284
ENC,P,10,0.143601021,19156
ENC,P,12,0.127108530,19164
ENC,P,14,0.098513095,19124
ENC,P,16,0.073992886,19296
ENC,P,18,0.062837728,19280
ENC,P,20,0.052333405,19300
ENC,P,22,0.043173933,19124
ENC,P,24,0.037242267,19180
ENC,P,26,0.033239908,19148
ENC,P,28,0.029781386,19428
ENC,P,30,0.024345232,19380
ENC,P,32,0.023809013,19196
